"Path","Lines","Modified","KB"
"app\api\v1\pets\analyze\route.ts","69","2026-06-05","2.2"
"app\api\v1\pets\generate\route.ts","177","2026-07-07","7.4"
"app\api\v1\portraits\analyze\route.ts","70","2026-05-19","2.3"
"app\api\v1\portraits\curate-effects\route.ts","81","2026-06-07","2.6"
"app\api\v1\portraits\curate-upper-body\route.ts","102","2026-06-03","3"
"app\api\v1\portraits\gate\route.ts","121","2026-06-12","4.8"
"app\api\v1\portraits\generate\route.ts","603","2026-07-11","28.7"
"app\api\v1\portraits\pieces\route.ts","152","2026-07-23","7.2"
"app\api\v1\portraits\raw-gpt-image\route.ts","114","2026-05-19","4"
"app\api\v1\portraits\raw-pipeline\route.ts","174","2026-05-19","5.8"
"app\api\v1\portraits\unlock\route.ts","145","2026-06-12","6.1"
"app\api\v1\portrait-wallpaper\analyze\route.ts","64","2026-07-11","2.7"
"app\api\v1\portrait-wallpaper\generate\route.ts","162","2026-07-11","7.2"
"app\api\v1\print\checkout\route.ts","209","2026-05-13","7.3"
"app\api\v1\print\quote\route.ts","116","2026-05-13","3.8"
"app\api\v1\print\webhook\route.ts","168","2026-05-13","6.9"
"app\api\v1\qa\settings\route.ts","106","2026-06-12","4"
"app\api\v1\skus\route.ts","17","2026-05-06","0.5"
"app\api\v1\sportsmem\analyze\route.ts","224","2026-05-06","11.2"
"app\api\v1\sportsmem\generate\route.ts","49","2026-05-06","1.5"
"app\api\v1\stadium\generate\route.ts","51","2026-05-06","1.7"
"app\api\v1\structures\generate\route.ts","70","2026-05-06","1.9"
"app\api\v1\webhooks\stripe\route.ts","124","2026-05-06","4.3"
"app\auth\callback\route.ts","44","2026-05-06","1.5"
"app\globals.css","42","2026-04-27","1.1"
"app\groups\page.tsx","1391","2026-05-06","38.1"
"app\homepage.css","181","2026-07-10","12.1"
"app\layout.tsx","33","2026-05-06","0.7"
"app\page.tsx","277","2026-07-23","13.3"
"app\result\[jobId]\page.tsx","0","2026-05-06","3.1"
"app\result\[jobId]\ResultViewer.tsx","0","2026-05-06","4.7"
"app\store\cancel\CancelInner.tsx","61","2026-05-06","2.2"
"app\store\cancel\page.tsx","10","2026-05-06","0.2"
"app\store\page.tsx","403","2026-05-06","14.6"
"app\store\success\page.tsx","10","2026-05-06","0.2"
"app\store\success\SuccessInner.tsx","148","2026-05-06","5.1"
"archive\CC-PAYLOAD-MASTER-2026-07-22.md","215","2026-07-23","8.9"
"archive\CC-PAYLOAD-portraits-2026-07-22.md","215","2026-07-23","8.8"
"archive\CLAUDE.md","95","2026-07-23","4.5"
"archive\CREDITS-AND-CODES-SPEC-v3.md","125","2026-07-23","6.9"
"archive\litenco-account-2026-07-22-r6.html","287","2026-07-23","524.6"
"archive\litenco-portraits-2026-07-21-r77.html","1578","2026-07-23","114.1"
"archive\old-build-jul10\_PRODUCTION-BIBLE.md","192","2026-07-10","13.4"
"archive\old-build-jul10\CC-CONTRACT-portraits-full-buildout-v1.md","218","2026-07-10","12.2"
"archive\old-build-jul10\cc-directive-groups-2026-07-10.md","66","2026-07-11","4.3"
"archive\old-build-jul10\cc-directive-houses-v2-2026-07-10.md","78","2026-07-10","5.3"
"archive\old-build-jul10\cc-directive-landscapes-2026-07-10.md","51","2026-07-10","2.9"
"archive\old-build-jul10\cc-directive-pets-2026-07-10.md","54","2026-07-10","3"
"archive\old-build-jul10\CC-PROGRESS-AND-FLAGS-2026-07-23.md","253","2026-07-23","19.1"
"archive\old-build-jul10\cc-punchlist-portraits-occupied-2026-07-11.md","52","2026-07-11","3.5"
"archive\old-build-jul10\cc-request-occupied-states-portraits-2026-07-11.md","55","2026-07-11","3.3"
"archive\old-build-jul10\CC-ROUTE-CONTRACTS-portraits-2026-07-24.md","81","2026-07-24","7"
"archive\old-build-jul10\cc-spec-portraits-occupied-combined-2026-07-11.md","82","2026-07-11","5.3"
"archive\old-build-jul10\cc-spec-portraits-occupied-states-2026-07-11.md","85","2026-07-11","5.4"
"archive\old-build-jul10\cc-task-portraits-shell-rebuild-2026-07-10.md","139","2026-07-10","7.7"
"archive\old-build-jul10\CLAW-RECONCILIATION-2026-07-23.md","99","2026-07-23","9"
"archive\old-build-jul10\multiperson-integration-spec-v1-2026-07-10.md","245","2026-07-10","11.5"
"archive\old-build-jul10\SESSION-RECAP-2026-07-10.md","174","2026-07-10","10.4"
"archive\old-build-jul10\VERIFY-portraits-shell-checklist-2026-07-10.md","131","2026-07-10","7.9"
"archive\printshop.html","383","2026-07-22","2349.8"
"archive\SPEC-autonaming-2026-07-22.md","113","2026-07-23","3.5"
"bench-configs\bronze-spot.json","18","2026-06-07","0.4"
"bench-configs\calibration.json","17","2026-06-06","0.5"
"bench-configs\iron-verify.json","18","2026-06-07","0.4"
"bench-configs\smoke.json","14","2026-06-06","0.3"
"bench-reports\liten-implementation-portraits-portraits-bronze-spot-01-mq3w5z8v.md","57","2026-06-07","2.2"
"bench-reports\liten-implementation-portraits-portraits-bronze-spot-01-mq4ihfj8.md","47","2026-06-07","1.8"
"bench-reports\liten-implementation-portraits-portraits-calibration-01-mq3uzs16.md","69","2026-06-07","3.1"
"bench-reports\liten-implementation-portraits-portraits-iron-verify-01-mq4k4bgp.md","51","2026-06-07","1.9"
"build_printshop_r17.py","129","2026-07-24","5.9"
"CLAUDE.md","1","2026-03-18","0"
"CLAW-STATUS.md","85","2026-07-25","7.8"
"components\CuratorVoiceCard.tsx","67","2026-06-01","1.8"
"components\print\AddressForm.tsx","143","2026-05-15","4.3"
"components\print\PriceSummary.tsx","117","2026-05-15","3.7"
"components\print\PrintOrderCard.tsx","226","2026-05-15","8.5"
"components\print\PrintSheet.tsx","476","2026-05-15","15.8"
"components\print\SizePicker.tsx","115","2026-05-15","3.7"
"components\print\types.ts","82","2026-05-15","2.2"
"components\SigninModal.tsx","164","2026-04-28","6.9"
"directives\LIVE-FILE-LEDGER.md","52","2026-07-25","2.7"
"directives\MASTER-LOCKED-ELEMENTS-v1-2026-07-10.md","189","2026-07-11","12.1"
"directives\POST-WALK-FIXES-2026-07-25.md","68","2026-07-26","5.1"
